Class,Precision,Recall,F1-Score,Support,experiment,run_id
Highway,1.0,0.9629629629629629,0.9811320754716981,54.0,10% Synthetic + Geometric,1
Industrial,0.9245283018867925,0.98,0.9514563106796117,50.0,10% Synthetic + Geometric,1
Pasture,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0,10% Synthetic + Geometric,1
PermanentCrop,0.94,0.9215686274509803,0.9306930693069307,51.0,10% Synthetic + Geometric,1
Residential,1.0,0.9672131147540983,0.9833333333333333,61.0,10% Synthetic + Geometric,1
River,0.9807692307692307,1.0,0.9902912621359223,51.0,10% Synthetic + Geometric,1
SeaLake,1.0,0.9830508474576272,0.9914529914529915,59.0,10% Synthetic + Geometric,1
AnnualCrop,0.9830508474576272,1.0,0.9914529914529915,58.0,20% Synthetic + Geometric,1
Forest,0.9818181818181818,1.0,0.9908256880733946,54.0,20% Synthetic + Geometric,1
HerbaceousVegetation,0.9253731343283582,0.96875,0.9465648854961832,64.0,20% Synthetic + Geometric,1
Highway,0.896551724137931,0.9629629629629629,0.9285714285714286,54.0,20% Synthetic + Geometric,1
Industrial,0.9411764705882353,0.96,0.9504950495049505,50.0,20% Synthetic + Geometric,1
Pasture,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0,20% Synthetic + Geometric,1
PermanentCrop,0.9565217391304348,0.8627450980392157,0.9072164948453608,51.0,20% Synthetic + Geometric,1
Residential,1.0,0.9836065573770492,0.9917355371900827,61.0,20% Synthetic + Geometric,1
River,1.0,0.9607843137254902,0.98,51.0,20% Synthetic + Geometric,1
SeaLake,1.0,0.9661016949152542,0.9827586206896551,59.0,20% Synthetic + Geometric,1
AnnualCrop,0.9491525423728814,0.9655172413793104,0.9572649572649573,58.0,30% Synthetic + Geometric,1
Forest,0.9310344827586207,1.0,0.9642857142857143,54.0,30% Synthetic + Geometric,1
HerbaceousVegetation,0.9180327868852459,0.875,0.896,64.0,30% Synthetic + Geometric,1
Highway,0.9433962264150944,0.9259259259259259,0.9345794392523364,54.0,30% Synthetic + Geometric,1
Industrial,0.9259259259259259,1.0,0.9615384615384616,50.0,30% Synthetic + Geometric,1
Pasture,0.9230769230769231,0.9473684210526315,0.935064935064935,38.0,30% Synthetic + Geometric,1
PermanentCrop,0.9565217391304348,0.8627450980392157,0.9072164948453608,51.0,30% Synthetic + Geometric,1
Residential,1.0,0.9836065573770492,0.9917355371900827,61.0,30% Synthetic + Geometric,1
